ITEM_ID,Bar_Code_1,Description,UOM,BuyingPrice,SellingPrice,VAT,ItemsBalance,Supplier,Bar_Code_2,UOM_ID
2109,10003,FAHARI YA KENYA  20*500G CTN ,CTN,4407.858565,5000,16,61.4,,,CTN
2109,10003,FAHARI YA KENYA  20*500G CTN ,KG,220.3929282,250,16,1228,,,KG
2110,10004,FAHARI YA KENYA 40* 250G,CTN,4506.305343,5000,16,14.2,,,CTN
2110,10004,FAHARI YA KENYA 40* 250G,PCS,112.6576336,150,16,566,,,PCS
2111,10008,DORMANS COFFEE 100*2G,PCS,8.2836,20,16,19989,,,PCS
2111,10008,DORMANS COFFEE 100*2G ,PKT,828.36,950,16,199.9,,,PKT
2114,10013,JIK WHITE 5LTR,LTS,625,900,16,13,,,LTS
2115,10014, SOFTCARE PAD,PCS,63.70918367,100,16,490,,,PCS
2115,10014, SOFTCARE PAD ,CTN,1529.020408,1800,16,20.4,,,CTN
2116,10015,JIK COLOUR 750ML ,LTS,550,750,16,6,,,LTS
2117,10016,HARPIC POWER PLUS 500ML ,LTS,120,300,16,111,,,LTS
2118,10018,EXE ALL PURPOSE 24*1KG ,PCS,82.20833333,110,0,585,,,PCS
2118,10018,EXE ALL PURPOSE 24*1KG ,BAL,1973,2400,0,24.4,,,BAL
2122,10023,NAN 2 400g ,PCS,1610.01,1850,0,298,,,PCS
2123,10024,LUCOZADE 250*24 ,KG,77.55150638,90,16,83,,,KG
